Total, Detected, Lin. vel., Ang.vel., Roll, Pitch, Fire dist., Drone offset x, Drone offset y, Conversion, Process time
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,00
1, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,0251.53
1, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,0251.53
2, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,015.85
5, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,016.87
8, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,021.58
11, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,08.49
16, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,08.99
20, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,012.57
24, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,011.27
25, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,07.25
29, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,015.32
33, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,013.03
36, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,03.99
39, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,014.96
41, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,09.72
46, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,01.22
50, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,07.88
54, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,018.64
57, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,011.0
61, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,03.43
66, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,01.21
70, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,05.26
74, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,04.24
77, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,01.94
81, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,07.36
85, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,08.24
88, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,05.97
92, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,02.38
97, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,05.09
101, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,05.6
105, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,06.76
108, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,02.39
112, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,02.87
117, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,02.84
122, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,013.89
126, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 1,07.57
129, 0, 0.1, 0, 0, 0, 1000000, -480.0, -360.0, 1,041.05
131, 0, 0.1, 0, 0, 0, 1000000, -480.0, -360.0, 1,015.84
133, 0, 0.1, 0, 0, 0, 1000000, -480.0, -360.0, 1,025.6
135, 0, 0.1, 0, 0, 0, 1000000, -480.0, -360.0, 1,025.06
137, 0, 0.1, 0, 0, 0, 834.2116038512052, -480.0, -360.0, 1,014.79
139, 0, 0, 0, 0, 0, 804.9670800722225, -480.0, -360.0, 1,014.49
142, 0, 0.1, 0, 0, 0, 721.2711002112867, -480.0, -360.0, 1,012.1
145, 0, 0.1, 0, 0, 0, 693.4320442552391, -480.0, -360.0, 1,012.39
148, 1, 0, -1, 0.019758248942629165, 0.3439003357756166, 195.85230404567622, 9.25, -120.75, 0.17236825327351932,015.63
150, 2, 0.1, 0, 0, 0, 654.8473104472523, -480.0, -360.0, 0.18287244341031403,012.12
152, 4, 0, -1, 0.025438886962535427, 0.38022634223998913, 163.99085340347492, 12.0, -134.0, 0.21419830424157743,010.2
155, 6, 0, -1, 0.02859398016295895, 0.40156549030861816, 153.3900257513506, 13.5, -141.5, 0.2272466444440108,015.4
158, 8, 0, -1, 0.03329498402490969, 0.40712865047026414, 143.31368566888509, 15.75, -143.5, 0.24986122674478858,017.99
161, 10, 0.1, 0, 0, 0, 622.462850297108, -480.0, -360.0, 0.2631174057921088,010.47
163, 12, 0, -1, 0.04115568053048502, 0.4038420003486282, 127.19792647681015, 19.5, -142.25, 0.29389175021515956,016.24
166, 13, 0.1, 0, 0, 0, 614.6128862951052, -480.0, -360.0, 0.29361010975735174,017.59
168, 15, 0, -1, 0.030802846013969366, 0.3969194804580074, 116.5345978668996, 14.5, -139.75, 0.31907672235863777,021.18
171, 18, 0, -1, 0.02816539317067606, 0.38182273997405775, 110.98479625606383, 13.25, -134.25, 0.3405574568898749,020.68
174, 19, 0, -1, 0.029671493568933574, 0.36732752409016806, 104.80935072788114, 14.0, -129.0, 0.3487429162314578,014.54
177, 22, 0, -1, 0.02713837563956066, 0.3622993895431789, 102.70893339919367, 12.75, -127.25, 0.3745321270791917,028.0
180, 24, 0, -1, 0.02759096666563254, 0.32332888532930393, 96.62815324738438, 13.0, -113.0, 0.40540540540540543,019.2
182, 26, 0, -1, 0.028651864626829674, 0.307621707871628, 92.49054005680797, 13.5, -107.5, 0.4165060086052993,015.9
184, 28, 0, -1, 0.026049696596714054, 0.29383416376232235, 90.26800374440548, 12.25, -102.5, 0.42857142857142855,017.36
187, 29, 0, 0, 0, 0, 622.2001285760073, -480.0, -360.0, 0.4404151646360276,05.67
189, 31, 0, -1, 0.020808319431142277, 0.2640140904084933, 87.52178300286164, 9.75, -92.0, 0.440985774028391,021.42
192, 33, 0, -1, 0.028606789125671935, 0.3075853937925387, 85.90983645660141, 13.5, -107.5, 0.440985774028391,023.64
194, 35, 0, -1, 0.027111136278854545, 0.27738779399308144, 84.25445092100476, 12.75, -96.5, 0.440985774028391,022.25
197, 37, 0, -1, 0.029669181930590757, 0.25766927988060495, 84.22143432642311, 14.0, -89.5, 0.4404151646360276,015.38
199, 38, 0, -1, 0.03278635686895193, 0.3097023401252538, 85.03234678638476, 15.5, -108.5, 0.440985774028391,019.9
